City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Birao,CF,2021-07-24 21:52:03,10.2849,22.7882,72.97,90,100,6.11
265,Saurimo,AO,2021-07-24 21:52:04,-9.6608,20.3916,63.5,37,0,3.18
266,Mount Gambier,AU,2021-07-24 21:52:04,-37.8333,140.7667,39.11,93,40,8.05
267,Kuito,AO,2021-07-24 21:52:05,-12.3833,16.9333,53.83,33,0,2.95
268,Nelson Bay,AU,2021-07-24 21:52:05,-32.7167,152.15,55.76,64,26,4.0
269,Tigil,RU,2021-07-24 21:52:05,57.8,158.6667,56.93,95,100,4.92
270,Pryozerne,UA,2021-07-24 21:52:06,45.2698,36.3303,74.37,60,0,11.97
271,Bangangte,CM,2021-07-24 21:52:06,5.1409,10.5198,60.85,98,88,3.8
272,Grand-Santi,GF,2021-07-24 21:52:07,4.25,-54.3833,74.32,97,95,2.86
273,Kailua,US,2021-07-24 21:52:07,21.4022,-157.7394,87.78,73,75,14.97
274,Hofn,IS,2021-07-24 21:52:07,64.2539,-15.2082,52.52,88,74,19.93
275,Camalu,MX,2021-07-24 21:52:08,30.85,-116.0667,76.42,69,100,9.69
276,Severo-Kurilsk,RU,2021-07-24 21:52:08,50.6789,156.125,56.17,93,59,1.43
277,Kihurio,TZ,2021-07-24 21:52:09,-4.4667,38.0667,65.17,76,3,5.06
278,Pelym,RU,2021-07-24 21:52:09,61.0108,61.9978,46.78,90,70,5.21
279,Meulaboh,ID,2021-07-24 21:52:09,4.1363,96.1285,76.12,86,95,2.68
280,Amarante Do Maranhao,BR,2021-07-24 21:52:10,-5.5667,-46.7422,80.69,41,50,3.56
281,Santa Rosa,PH,2021-07-24 21:52:10,14.3122,121.1114,81.91,91,100,17.69
282,Port-Gentil,GA,2021-07-24 21:52:11,-0.7193,8.7815,76.96,78,75,6.91
283,Marsa Matruh,EG,2021-07-24 21:52:11,31.3525,27.2453,79.0,65,20,13.8
284,Ovalle,CL,2021-07-24 21:52:12,-30.5983,-71.2003,53.76,68,60,2.89
